org.eclipse.equinox.p2.director.source   [2.3.300.v20160504-1450]
org.eclipse.equinox.p2.directorywatcher  [1.1.100.v20150423-1455]
org.eclipse.equinox.p2.directorywatcher.source [1.1.100.v20150423-1455]
org.eclipse.equinox.p2.discovery         [1.0.400.v20160504-1450]
org.eclipse.equinox.p2.discovery.compatibility [1.0.200.v20131211-1531]
org.eclipse.equinox.p2.discovery.compatibility.source [1.0.200.v20131211-1531]
org.eclipse.equinox.p2.discovery.source  [1.0.400.v20160504-1450]
org.eclipse.equinox.p2.engine            [2.4.100.v20160419-0834]
org.eclipse.equinox.p2.engine.source     [2.4.100.v20160419-0834]
org.eclipse.equinox.p2.extensionlocation [1.2.300.v20160419-0834]
org.eclipse.equinox.p2.extensionlocation.source [1.2.300.v20160419-0834]
org.eclipse.equinox.p2.garbagecollector  [1.0.300.v20160504-1450]
org.eclipse.equinox.p2.garbagecollector.source [1.0.300.v20160504-1450]
org.eclipse.equinox.p2.installer         [1.0.500.v20160419-0100]
org.eclipse.equinox.p2.installer.source  [1.0.500.v20160419-0100]
org.eclipse.equinox.p2.jarprocessor      [1.0.500.v20160504-1450]
org.eclipse.equinox.p2.jarprocessor.source [1.0.500.v20160504-1450]
org.eclipse.equinox.p2.metadata          [2.3.100.v20160427-2220]
org.eclipse.equinox.p2.metadata.repository [1.2.300.v20160419-0834]
org.eclipse.equinox.p2.metadata.repository.source [1.2.300.v20160419-0834]
org.eclipse.equinox.p2.metadata.source   [2.3.100.v20160427-2220]
org.eclipse.equinox.p2.operations        [2.4.200.v20160504-1450]
org.eclipse.equinox.p2.operations.source [2.4.200.v20160504-1450]
org.eclipse.equinox.p2.publisher         [1.4.100.v20160504-1450]
org.eclipse.equinox.p2.publisher.eclipse [1.2.100.v20160504-1450]
org.eclipse.equinox.p2.publisher.eclipse.source [1.2.100.v20160504-1450]
org.eclipse.equinox.p2.publisher.source  [1.4.100.v20160504-1450]
org.eclipse.equinox.p2.reconciler.dropins [1.1.400.v20160504-1450]
org.eclipse.equinox.p2.reconciler.dropins.source [1.1.400.v20160504-1450]
org.eclipse.equinox.p2.repository        [2.3.200.v20160421-0324]
org.eclipse.equinox.p2.repository.source [2.3.200.v20160421-0324]
org.eclipse.equinox.p2.repository.tools  [2.1.300.v20160421-0324]
org.eclipse.equinox.p2.repository.tools.source [2.1.300.v20160421-0324]
org.eclipse.equinox.p2.tests             [1.6.200.v20160504-1450, 1.6.200.v20161124-1529]
org.eclipse.equinox.p2.tests.discovery   [1.1.0.v20141216-2213]
org.eclipse.equinox.p2.tests.ui          [1.1.200.v20160504-1450]
org.eclipse.equinox.p2.tests.verifier    [1.1.200.v20160504-1450]
org.eclipse.equinox.p2.touchpoint.eclipse [2.1.400.v20160419-0834]
org.eclipse.equinox.p2.touchpoint.eclipse.source [2.1.400.v20160419-0834]
org.eclipse.equinox.p2.touchpoint.natives [1.2.100.v20160419-0834]
org.eclipse.equinox.p2.touchpoint.natives.source [1.2.100.v20160419-0834]
org.eclipse.equinox.p2.transport.ecf     [1.1.200.v20160606-1311, 1.1.201.v20161115-1927]
org.eclipse.equinox.p2.transport.ecf.source [1.1.200.v20160606-1311, 1.1.201.v20161115-1927]
org.eclipse.equinox.p2.ui                [2.4.100.v20160419-0834]
org.eclipse.equinox.p2.ui.admin          [1.0.200.v20150430-1836]
org.eclipse.equinox.p2.ui.admin.rcp      [1.0.200.v20150220-1741]
org.eclipse.equinox.p2.ui.admin.rcp.source [1.0.200.v20150220-1741]
org.eclipse.equinox.p2.ui.admin.source   [1.0.200.v20150430-1836]
org.eclipse.equinox.p2.ui.discovery      [1.0.200.v20160504-1450, 1.0.201.v20160901-1335]
org.eclipse.equinox.p2.ui.discovery.source [1.0.200.v20160504-1450, 1.0.201.v20160901-1335]
org.eclipse.equinox.p2.ui.importexport   [1.1.200.v20160521-1138]
org.eclipse.equinox.p2.ui.importexport.source [1.1.200.v20160521-1138]
org.eclipse.equinox.p2.ui.sdk            [1.0.400.v20150423-1455]
org.eclipse.equinox.p2.ui.sdk.scheduler  [1.2.200.v20160504-1450, 1.3.0.v20161124-1529]
org.eclipse.equinox.p2.ui.sdk.scheduler.source [1.2.200.v20160504-1450, 1.3.0.v20161124-1529]
org.eclipse.equinox.p2.ui.sdk.source     [1.0.400.v20150423-1455]
org.eclipse.equinox.p2.ui.source         [2.4.100.v20160419-0834]
org.eclipse.equinox.p2.updatechecker     [1.1.200.v20131119-0908, 1.1.300.v20161124-1529]
org.eclipse.equinox.p2.updatechecker.source [1.1.200.v20131119-0908, 1.1.300.v20161124-1529]
org.eclipse.equinox.p2.updatesite        [1.0.600.v20160504-1450]
org.eclipse.equinox.p2.updatesite.source [1.0.600.v20160504-1450]
org.eclipse.equinox.preferences          [3.6.0.v20160120-1756, 3.6.1.v20160815-1406]
org.eclipse.equinox.preferences.source   [3.6.0.v20160120-1756, 3.6.1.v20160815-1406]
org.eclipse.equinox.region               [1.3.0.v20150929-2134, 1.3.1.v20160816-1331, 1.3.2.v20170118-1930]
org.eclipse.equinox.region.source        [1.3.0.v20150929-2134, 1.3.1.v20160816-1331, 1.3.2.v20170118-1930]
org.eclipse.equinox.registry             [3.6.100.v20160223-2218]
org.eclipse.equinox.registry.source      [3.6.100.v20160223-2218]
org.eclipse.equinox.security             [1.2.200.v20150715-1528]
org.eclipse.equinox.security.macosx      [1.100.200.v20130327-1442]
org.eclipse.equinox.security.macosx.source [1.100.200.v20130327-1442]
org.eclipse.equinox.security.source      [1.2.200.v20150715-1528]
org.eclipse.equinox.security.tests       [1.0.200.v20160504-1428]
org.eclipse.equinox.security.ui          [1.1.300.v20150803-1225]
org.eclipse.equinox.security.ui.source   [1.1.300.v20150803-1225]
org.eclipse.equinox.security.win32.x86   [1.0.300.v20130327-1442]
org.eclipse.equinox.security.win32.x86.source [1.0.300.v20130327-1442]
org.eclipse.equinox.security.win32.x86_64 [1.0.100.v20130327-1442]
org.eclipse.equinox.security.win32.x86_64.source [1.0.100.v20130327-1442]
org.eclipse.equinox.servletbridge        [1.3.200.v20160128-1435]
org.eclipse.equinox.servletbridge.source [1.3.200.v20160128-1435]
org.eclipse.equinox.simpleconfigurator   [1.1.200.v20160504-1450]
org.eclipse.equinox.simpleconfigurator.manipulator [2.0.200.v20160504-1450]
org.eclipse.equinox.simpleconfigurator.manipulator.source [2.0.200.v20160504-1450]
org.eclipse.equinox.simpleconfigurator.source [1.1.200.v20160504-1450]
org.eclipse.equinox.supplement           [1.6.100.v20160504-1419]
org.eclipse.equinox.supplement.source    [1.6.100.v20160504-1419]
