assertj-core                             [3.22.0]
org.eclipse.equinox.common               [3.16.100.v20220315-2327]
org.eclipse.equinox.common.source        [3.16.100.v20220315-2327]
org.eclipse.equinox.common.tests         [3.15.300.v20220412-1358]
org.eclipse.equinox.concurrent           [1.2.100.v20211021-1418]
org.eclipse.equinox.concurrent.source    [1.2.100.v20211021-1418]
org.eclipse.equinox.console              [1.4.500.v20211021-1418]
org.eclipse.equinox.console.jaas.fragment [1.1.100.v20211021-1418]
org.eclipse.equinox.console.source       [1.4.500.v20211021-1418]
org.eclipse.equinox.console.ssh          [1.2.900.v20211021-1418]
org.eclipse.equinox.console.ssh.source   [1.2.900.v20211021-1418]
org.eclipse.equinox.coordinator          [1.5.0.v20220429-1604]
org.eclipse.equinox.coordinator.source   [1.5.0.v20220429-1604]
org.eclipse.equinox.device               [1.1.200.v20211021-1418]
org.eclipse.equinox.device.source        [1.1.200.v20211021-1418]
org.eclipse.equinox.ds.tests             [1.6.200.v20220423-1100]
org.eclipse.equinox.event                [1.6.100.v20211021-1418]
org.eclipse.equinox.event.source         [1.6.100.v20211021-1418]
org.eclipse.equinox.frameworkadmin       [2.2.0.v20210315-2042]
org.eclipse.equinox.frameworkadmin.equinox [1.2.200.v20220315-2155]
org.eclipse.equinox.frameworkadmin.equinox.source [1.2.200.v20220315-2155]
org.eclipse.equinox.frameworkadmin.source [2.2.0.v20210315-2042]
org.eclipse.equinox.frameworkadmin.test  [1.3.0.v20210426-1055]
org.eclipse.equinox.http.jetty           [3.8.100.v20211021-1418]
org.eclipse.equinox.http.jetty.source    [3.8.100.v20211021-1418]
org.eclipse.equinox.http.registry        [1.3.100.v20211021-1418]
org.eclipse.equinox.http.registry.source [1.3.100.v20211021-1418]
org.eclipse.equinox.http.servlet         [1.7.200.v20211021-1418]
org.eclipse.equinox.http.servlet.source  [1.7.200.v20211021-1418]
org.eclipse.equinox.http.servlet.tests   [1.8.400.v20220411-1854]
org.eclipse.equinox.http.servletbridge   [1.2.100.v20211021-1418]
org.eclipse.equinox.http.servletbridge.source [1.2.100.v20211021-1418]
org.eclipse.equinox.jsp.jasper           [1.1.600.v20211021-1418]
org.eclipse.equinox.jsp.jasper.registry  [1.2.100.v20211021-1418]
org.eclipse.equinox.jsp.jasper.registry.source [1.2.100.v20211021-1418]
org.eclipse.equinox.jsp.jasper.source    [1.1.600.v20211021-1418]
org.eclipse.equinox.launcher             [1.6.400.v20210924-0641]
org.eclipse.equinox.launcher.cocoa.macosx [1.2.500.v20220509-0833]
